band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
6645,6898,7343,7093,5941,6051,8981,6969,7034,6645,6898,7343,7093,5941,6051,8981,6969,7034,6645,6898,7343,7093,5941,6051,8981,6969,7034,6645,6898,7343,7093,5941,6051,8981,6969,7034,6645,6898,7343,7093,5941,6051,8981,6969,7034,6645,6898,7343,7093,5941,6051,8981,6969,7034,6645,6898,7343,7093,5941,6051,8981,6969,7034,6645,6898,7343,7093,5941,6051,8981,6969,7034,6645,6898,7343,7093,5941,6051,8981,6969,7034,6645,6898,7343,7093,5941,6051,8981,6969,7034,6645,6898,7343,7093,5941,6051,8981,6969,7034,6645,6898,7343,7093,5941,6051,8981,6969,7034,551
504,440,527,536,554,443,589,518,517,504,440,527,536,554,443,589,518,517,504,440,527,536,554,443,589,518,517,504,440,527,536,554,443,589,518,517,504,440,527,536,554,443,589,518,517,504,440,527,536,554,443,589,518,517,504,440,527,536,554,443,589,518,517,504,440,527,536,554,443,589,518,517,504,440,527,536,554,443,589,518,517,504,440,527,536,554,443,589,518,517,504,440,527,536,554,443,589,518,517,504,440,527,536,554,443,589,518,517,323
1143,1236,1301,1286,1237,1238,1233,1255,1246,1143,1236,1301,1286,1237,1238,1233,1255,1246,1143,1236,1301,1286,1237,1238,1233,1255,1246,1143,1236,1301,1286,1237,1238,1233,1255,1246,1143,1236,1301,1286,1237,1238,1233,1255,1246,1143,1236,1301,1286,1237,1238,1233,1255,1246,1143,1236,1301,1286,1237,1238,1233,1255,1246,1143,1236,1301,1286,1237,1238,1233,1255,1246,1143,1236,1301,1286,1237,1238,1233,1255,1246,1143,1236,1301,1286,1237,1238,1233,1255,1246,1143,1236,1301,1286,1237,1238,1233,1255,1246,1143,1236,1301,1286,1237,1238,1233,1255,1246,9
1670,1621,1736,1820,1654,1751,1575,1857,1729,1670,1621,1736,1820,1654,1751,1575,1857,1729,1670,1621,1736,1820,1654,1751,1575,1857,1729,1670,1621,1736,1820,1654,1751,1575,1857,1729,1670,1621,1736,1820,1654,1751,1575,1857,1729,1670,1621,1736,1820,1654,1751,1575,1857,1729,1670,1621,1736,1820,1654,1751,1575,1857,1729,1670,1621,1736,1820,1654,1751,1575,1857,1729,1670,1621,1736,1820,1654,1751,1575,1857,1729,1670,1621,1736,1820,1654,1751,1575,1857,1729,1670,1621,1736,1820,1654,1751,1575,1857,1729,1670,1621,1736,1820,1654,1751,1575,1857,1729,207
2632,3103,3036,3346,3098,2951,3247,2992,3231,2632,3103,3036,3346,3098,2951,3247,2992,3231,2632,3103,3036,3346,3098,2951,3247,2992,3231,2632,3103,3036,3346,3098,2951,3247,2992,3231,2632,3103,3036,3346,3098,2951,3247,2992,3231,2632,3103,3036,3346,3098,2951,3247,2992,3231,2632,3103,3036,3346,3098,2951,3247,2992,3231,2632,3103,3036,3346,3098,2951,3247,2992,3231,2632,3103,3036,3346,3098,2951,3247,2992,3231,2632,3103,3036,3346,3098,2951,3247,2992,3231,2632,3103,3036,3346,3098,2951,3247,2992,3231,2632,3103,3036,3346,3098,2951,3247,2992,3231,436
3422,3396,3411,3467,3423,3425,3424,3422,3428,3422,3396,3411,3467,3423,3425,3424,3422,3428,3422,3396,3411,3467,3423,3425,3424,3422,3428,3422,3396,3411,3467,3423,3425,3424,3422,3428,3422,3396,3411,3467,3423,3425,3424,3422,3428,3422,3396,3411,3467,3423,3425,3424,3422,3428,3422,3396,3411,3467,3423,3425,3424,3422,3428,3422,3396,3411,3467,3423,3425,3424,3422,3428,3422,3396,3411,3467,3423,3425,3424,3422,3428,3422,3396,3411,3467,3423,3425,3424,3422,3428,3422,3396,3411,3467,3423,3425,3424,3422,3428,3422,3396,3411,3467,3423,3425,3424,3422,3428,23
1886,1900,1961,1921,1882,1853,2020,1901,1935,1886,1900,1961,1921,1882,1853,2020,1901,1935,1886,1900,1961,1921,1882,1853,2020,1901,1935,1886,1900,1961,1921,1882,1853,2020,1901,1935,1886,1900,1961,1921,1882,1853,2020,1901,1935,1886,1900,1961,1921,1882,1853,2020,1901,1935,1886,1900,1961,1921,1882,1853,2020,1901,1935,1886,1900,1961,1921,1882,1853,2020,1901,1935,1886,1900,1961,1921,1882,1853,2020,1901,1935,1886,1900,1961,1921,1882,1853,2020,1901,1935,1886,1900,1961,1921,1882,1853,2020,1901,1935,1886,1900,1961,1921,1882,1853,2020,1901,1935,132
2634,3629,3135,2895,3125,3308,2854,3383,3235,2634,3629,3135,2895,3125,3308,2854,3383,3235,2634,3629,3135,2895,3125,3308,2854,3383,3235,2634,3629,3135,2895,3125,3308,2854,3383,3235,2634,3629,3135,2895,3125,3308,2854,3383,3235,2634,3629,3135,2895,3125,3308,2854,3383,3235,2634,3629,3135,2895,3125,3308,2854,3383,3235,2634,3629,3135,2895,3125,3308,2854,3383,3235,2634,3629,3135,2895,3125,3308,2854,3383,3235,2634,3629,3135,2895,3125,3308,2854,3383,3235,2634,3629,3135,2895,3125,3308,2854,3383,3235,2634,3629,3135,2895,3125,3308,2854,3383,3235,393
147,151,151,153,154,152,151,151,153,147,151,151,153,154,152,151,151,153,147,151,151,153,154,152,151,151,153,147,151,151,153,154,152,151,151,153,147,151,151,153,154,152,151,151,153,147,151,151,153,154,152,151,151,153,147,151,151,153,154,152,151,151,153,147,151,151,153,154,152,151,151,153,147,151,151,153,154,152,151,151,153,147,151,151,153,154,152,151,151,153,147,151,151,153,154,152,151,151,153,147,151,151,153,154,152,151,151,153,615
1438,1407,1448,1448,1441,1444,1437,1439,1438,1438,1407,1448,1448,1441,1444,1437,1439,1438,1438,1407,1448,1448,1441,1444,1437,1439,1438,1438,1407,1448,1448,1441,1444,1437,1439,1438,1438,1407,1448,1448,1441,1444,1437,1439,1438,1438,1407,1448,1448,1441,1444,1437,1439,1438,1438,1407,1448,1448,1441,1444,1437,1439,1438,1438,1407,1448,1448,1441,1444,1437,1439,1438,1438,1407,1448,1448,1441,1444,1437,1439,1438,1438,1407,1448,1448,1441,1444,1437,1439,1438,1438,1407,1448,1448,1441,1444,1437,1439,1438,1438,1407,1448,1448,1441,1444,1437,1439,1438,221
5368,5367,5216,5500,5403,4862,5046,6106,5473,5368,5367,5216,5500,5403,4862,5046,6106,5473,5368,5367,5216,5500,5403,4862,5046,6106,5473,5368,5367,5216,5500,5403,4862,5046,6106,5473,5368,5367,5216,5500,5403,4862,5046,6106,5473,5368,5367,5216,5500,5403,4862,5046,6106,5473,5368,5367,5216,5500,5403,4862,5046,6106,5473,5368,5367,5216,5500,5403,4862,5046,6106,5473,5368,5367,5216,5500,5403,4862,5046,6106,5473,5368,5367,5216,5500,5403,4862,5046,6106,5473,5368,5367,5216,5500,5403,4862,5046,6106,5473,5368,5367,5216,5500,5403,4862,5046,6106,5473,544
799,1084,958,909,952,889,932,1053,950,799,1084,958,909,952,889,932,1053,950,799,1084,958,909,952,889,932,1053,950,799,1084,958,909,952,889,932,1053,950,799,1084,958,909,952,889,932,1053,950,799,1084,958,909,952,889,932,1053,950,799,1084,958,909,952,889,932,1053,950,799,1084,958,909,952,889,932,1053,950,799,1084,958,909,952,889,932,1053,950,799,1084,958,909,952,889,932,1053,950,799,1084,958,909,952,889,932,1053,950,799,1084,958,909,952,889,932,1053,950,295
3429,4607,4013,3973,3997,4102,4038,4025,4023,3429,4607,4013,3973,3997,4102,4038,4025,4023,3429,4607,4013,3973,3997,4102,4038,4025,4023,3429,4607,4013,3973,3997,4102,4038,4025,4023,3429,4607,4013,3973,3997,4102,4038,4025,4023,3429,4607,4013,3973,3997,4102,4038,4025,4023,3429,4607,4013,3973,3997,4102,4038,4025,4023,3429,4607,4013,3973,3997,4102,4038,4025,4023,3429,4607,4013,3973,3997,4102,4038,4025,4023,3429,4607,4013,3973,3997,4102,4038,4025,4023,3429,4607,4013,3973,3997,4102,4038,4025,4023,3429,4607,4013,3973,3997,4102,4038,4025,4023,250
1882,1854,1955,1896,1894,1932,1878,1930,1903,1882,1854,1955,1896,1894,1932,1878,1930,1903,1882,1854,1955,1896,1894,1932,1878,1930,1903,1882,1854,1955,1896,1894,1932,1878,1930,1903,1882,1854,1955,1896,1894,1932,1878,1930,1903,1882,1854,1955,1896,1894,1932,1878,1930,1903,1882,1854,1955,1896,1894,1932,1878,1930,1903,1882,1854,1955,1896,1894,1932,1878,1930,1903,1882,1854,1955,1896,1894,1932,1878,1930,1903,1882,1854,1955,1896,1894,1932,1878,1930,1903,1882,1854,1955,1896,1894,1932,1878,1930,1903,1882,1854,1955,1896,1894,1932,1878,1930,1903,234
1514,1365,1650,1557,1474,1453,1619,1396,1676,1514,1365,1650,1557,1474,1453,1619,1396,1676,1514,1365,1650,1557,1474,1453,1619,1396,1676,1514,1365,1650,1557,1474,1453,1619,1396,1676,1514,1365,1650,1557,1474,1453,1619,1396,1676,1514,1365,1650,1557,1474,1453,1619,1396,1676,1514,1365,1650,1557,1474,1453,1619,1396,1676,1514,1365,1650,1557,1474,1453,1619,1396,1676,1514,1365,1650,1557,1474,1453,1619,1396,1676,1514,1365,1650,1557,1474,1453,1619,1396,1676,1514,1365,1650,1557,1474,1453,1619,1396,1676,1514,1365,1650,1557,1474,1453,1619,1396,1676,338
45,43,43,12,92,52,64,47,45,43,43,12,92,52,64,47,45,43,43,12,92,52,64,47,45,43,43,12,92,52,64,47,45,43,43,12,92,52,64,47,45,43,43,12,92,52,64,47,45,43,43,12,92,52,64,47,45,43,43,12,92,52,64,47,45,43,43,12,92,52,64,47,45,43,43,12,92,52,64,47,45,43,43,12,92,52,64,47,45,43,43,12,92,52,64,47,342,,,,,,,,,,,,
893,877,944,907,871,928,940,837,980,893,877,944,907,871,928,940,837,980,893,877,944,907,871,928,940,837,980,893,877,944,907,871,928,940,837,980,893,877,944,907,871,928,940,837,980,893,877,944,907,871,928,940,837,980,893,877,944,907,871,928,940,837,980,893,877,944,907,871,928,940,837,980,893,877,944,907,871,928,940,837,980,893,877,944,907,871,928,940,837,980,893,877,944,907,871,928,940,837,980,893,877,944,907,871,928,940,837,980,213
1126,1119,1130,1127,1130,1074,1179,1112,1141,1126,1119,1130,1127,1130,1074,1179,1112,1141,1126,1119,1130,1127,1130,1074,1179,1112,1141,1126,1119,1130,1127,1130,1074,1179,1112,1141,1126,1119,1130,1127,1130,1074,1179,1112,1141,1126,1119,1130,1127,1130,1074,1179,1112,1141,1126,1119,1130,1127,1130,1074,1179,1112,1141,1126,1119,1130,1127,1130,1074,1179,1112,1141,1126,1119,1130,1127,1130,1074,1179,1112,1141,1126,1119,1130,1127,1130,1074,1179,1112,1141,1126,1119,1130,1127,1130,1074,1179,1112,1141,1126,1119,1130,1127,1130,1074,1179,1112,1141,600
3909,3759,3814,4112,3930,3896,3896,3966,3912,3909,3759,3814,4112,3930,3896,3896,3966,3912,3909,3759,3814,4112,3930,3896,3896,3966,3912,3909,3759,3814,4112,3930,3896,3896,3966,3912,3909,3759,3814,4112,3930,3896,3896,3966,3912,3909,3759,3814,4112,3930,3896,3896,3966,3912,3909,3759,3814,4112,3930,3896,3896,3966,3912,3909,3759,3814,4112,3930,3896,3896,3966,3912,3909,3759,3814,4112,3930,3896,3896,3966,3912,3909,3759,3814,4112,3930,3896,3896,3966,3912,3909,3759,3814,4112,3930,3896,3896,3966,3912,3909,3759,3814,4112,3930,3896,3896,3966,3912,565
7441,7201,9606,7337,7124,7377,11354,8325,8236,7441,7201,9606,7337,7124,7377,11354,8325,8236,7441,7201,9606,7337,7124,7377,11354,8325,8236,7441,7201,9606,7337,7124,7377,11354,8325,8236,7441,7201,9606,7337,7124,7377,11354,8325,8236,7441,7201,9606,7337,7124,7377,11354,8325,8236,7441,7201,9606,7337,7124,7377,11354,8325,8236,7441,7201,9606,7337,7124,7377,11354,8325,8236,7441,7201,9606,7337,7124,7377,11354,8325,8236,7441,7201,9606,7337,7124,7377,11354,8325,8236,7441,7201,9606,7337,7124,7377,11354,8325,8236,7441,7201,9606,7337,7124,7377,11354,8325,8236,549
942,1069,1008,991,1033,980,924,1124,1013,942,1069,1008,991,1033,980,924,1124,1013,942,1069,1008,991,1033,980,924,1124,1013,942,1069,1008,991,1033,980,924,1124,1013,942,1069,1008,991,1033,980,924,1124,1013,942,1069,1008,991,1033,980,924,1124,1013,942,1069,1008,991,1033,980,924,1124,1013,942,1069,1008,991,1033,980,924,1124,1013,942,1069,1008,991,1033,980,924,1124,1013,942,1069,1008,991,1033,980,924,1124,1013,942,1069,1008,991,1033,980,924,1124,1013,942,1069,1008,991,1033,980,924,1124,1013,254
2481,2386,2570,2459,1279,3565,1611,3391,2594,2481,2386,2570,2459,1279,3565,1611,3391,2594,2481,2386,2570,2459,1279,3565,1611,3391,2594,2481,2386,2570,2459,1279,3565,1611,3391,2594,2481,2386,2570,2459,1279,3565,1611,3391,2594,2481,2386,2570,2459,1279,3565,1611,3391,2594,2481,2386,2570,2459,1279,3565,1611,3391,2594,2481,2386,2570,2459,1279,3565,1611,3391,2594,2481,2386,2570,2459,1279,3565,1611,3391,2594,2481,2386,2570,2459,1279,3565,1611,3391,2594,2481,2386,2570,2459,1279,3565,1611,3391,2594,2481,2386,2570,2459,1279,3565,1611,3391,2594,451
798,663,203,1306,914,447,1035,851,990,798,663,203,1306,914,447,1035,851,990,798,663,203,1306,914,447,1035,851,990,798,663,203,1306,914,447,1035,851,990,798,663,203,1306,914,447,1035,851,990,798,663,203,1306,914,447,1035,851,990,798,663,203,1306,914,447,1035,851,990,798,663,203,1306,914,447,1035,851,990,798,663,203,1306,914,447,1035,851,990,798,663,203,1306,914,447,1035,851,990,798,663,203,1306,914,447,1035,851,990,798,663,203,1306,914,447,1035,851,990,262
20524,20515,20554,20508,20528,20531,20556,20536,20532,20524,20515,20554,20508,20528,20531,20556,20536,20532,20524,20515,20554,20508,20528,20531,20556,20536,20532,20524,20515,20554,20508,20528,20531,20556,20536,20532,20524,20515,20554,20508,20528,20531,20556,20536,20532,20524,20515,20554,20508,20528,20531,20556,20536,20532,20524,20515,20554,20508,20528,20531,20556,20536,20532,20524,20515,20554,20508,20528,20531,20556,20536,20532,20524,20515,20554,20508,20528,20531,20556,20536,20532,20524,20515,20554,20508,20528,20531,20556,20536,20532,20524,20515,20554,20508,20528,20531,20556,20536,20532,20524,20515,20554,20508,20528,20531,20556,20536,20532,468
536,587,608,575,575,579,578,227,928,536,587,608,575,575,579,578,227,928,536,587,608,575,575,579,578,227,928,536,587,608,575,575,579,578,227,928,536,587,608,575,575,579,578,227,928,536,587,608,575,575,579,578,227,928,536,587,608,575,575,579,578,227,928,536,587,608,575,575,579,578,227,928,536,587,608,575,575,579,578,227,928,536,587,608,575,575,579,578,227,928,536,587,608,575,575,579,578,227,928,536,587,608,575,575,579,578,227,928,11
2450,2463,2426,2425,2429,2504,2511,2459,2459,2450,2463,2426,2425,2429,2504,2511,2459,2459,2450,2463,2426,2425,2429,2504,2511,2459,2459,2450,2463,2426,2425,2429,2504,2511,2459,2459,2450,2463,2426,2425,2429,2504,2511,2459,2459,2450,2463,2426,2425,2429,2504,2511,2459,2459,2450,2463,2426,2425,2429,2504,2511,2459,2459,2450,2463,2426,2425,2429,2504,2511,2459,2459,2450,2463,2426,2425,2429,2504,2511,2459,2459,2450,2463,2426,2425,2429,2504,2511,2459,2459,2450,2463,2426,2425,2429,2504,2511,2459,2459,2450,2463,2426,2425,2429,2504,2511,2459,2459,606
1328,1404,1569,1427,1434,1440,1434,1434,1436,1328,1404,1569,1427,1434,1440,1434,1434,1436,1328,1404,1569,1427,1434,1440,1434,1434,1436,1328,1404,1569,1427,1434,1440,1434,1434,1436,1328,1404,1569,1427,1434,1440,1434,1434,1436,1328,1404,1569,1427,1434,1440,1434,1434,1436,1328,1404,1569,1427,1434,1440,1434,1434,1436,1328,1404,1569,1427,1434,1440,1434,1434,1436,1328,1404,1569,1427,1434,1440,1434,1434,1436,1328,1404,1569,1427,1434,1440,1434,1434,1436,1328,1404,1569,1427,1434,1440,1434,1434,1436,1328,1404,1569,1427,1434,1440,1434,1434,1436,164
46804,46825,47336,46916,47060,46930,35602,58439,46989,46804,46825,47336,46916,47060,46930,35602,58439,46989,46804,46825,47336,46916,47060,46930,35602,58439,46989,46804,46825,47336,46916,47060,46930,35602,58439,46989,46804,46825,47336,46916,47060,46930,35602,58439,46989,46804,46825,47336,46916,47060,46930,35602,58439,46989,46804,46825,47336,46916,47060,46930,35602,58439,46989,46804,46825,47336,46916,47060,46930,35602,58439,46989,46804,46825,47336,46916,47060,46930,35602,58439,46989,46804,46825,47336,46916,47060,46930,35602,58439,46989,46804,46825,47336,46916,47060,46930,35602,58439,46989,46804,46825,47336,46916,47060,46930,35602,58439,46989,0
1170,1219,1199,1103,1280,1094,1324,1198,1200,1170,1219,1199,1103,1280,1094,1324,1198,1200,1170,1219,1199,1103,1280,1094,1324,1198,1200,1170,1219,1199,1103,1280,1094,1324,1198,1200,1170,1219,1199,1103,1280,1094,1324,1198,1200,1170,1219,1199,1103,1280,1094,1324,1198,1200,1170,1219,1199,1103,1280,1094,1324,1198,1200,1170,1219,1199,1103,1280,1094,1324,1198,1200,1170,1219,1199,1103,1280,1094,1324,1198,1200,1170,1219,1199,1103,1280,1094,1324,1198,1200,1170,1219,1199,1103,1280,1094,1324,1198,1200,1170,1219,1199,1103,1280,1094,1324,1198,1200,599
2728,2812,2770,2714,2812,2756,2629,2936,2772,2728,2812,2770,2714,2812,2756,2629,2936,2772,2728,2812,2770,2714,2812,2756,2629,2936,2772,2728,2812,2770,2714,2812,2756,2629,2936,2772,2728,2812,2770,2714,2812,2756,2629,2936,2772,2728,2812,2770,2714,2812,2756,2629,2936,2772,2728,2812,2770,2714,2812,2756,2629,2936,2772,2728,2812,2770,2714,2812,2756,2629,2936,2772,2728,2812,2770,2714,2812,2756,2629,2936,2772,2728,2812,2770,2714,2812,2756,2629,2936,2772,2728,2812,2770,2714,2812,2756,2629,2936,2772,2728,2812,2770,2714,2812,2756,2629,2936,2772,460
1744,1743,1732,1683,1803,1749,1751,1744,1745,1744,1743,1732,1683,1803,1749,1751,1744,1745,1744,1743,1732,1683,1803,1749,1751,1744,1745,1744,1743,1732,1683,1803,1749,1751,1744,1745,1744,1743,1732,1683,1803,1749,1751,1744,1745,1744,1743,1732,1683,1803,1749,1751,1744,1745,1744,1743,1732,1683,1803,1749,1751,1744,1745,1744,1743,1732,1683,1803,1749,1751,1744,1745,1744,1743,1732,1683,1803,1749,1751,1744,1745,1744,1743,1732,1683,1803,1749,1751,1744,1745,1744,1743,1732,1683,1803,1749,1751,1744,1745,1744,1743,1732,1683,1803,1749,1751,1744,1745,485
1494,1471,1464,1531,1528,1255,1743,1497,1500,1494,1471,1464,1531,1528,1255,1743,1497,1500,1494,1471,1464,1531,1528,1255,1743,1497,1500,1494,1471,1464,1531,1528,1255,1743,1497,1500,1494,1471,1464,1531,1528,1255,1743,1497,1500,1494,1471,1464,1531,1528,1255,1743,1497,1500,1494,1471,1464,1531,1528,1255,1743,1497,1500,1494,1471,1464,1531,1528,1255,1743,1497,1500,1494,1471,1464,1531,1528,1255,1743,1497,1500,1494,1471,1464,1531,1528,1255,1743,1497,1500,1494,1471,1464,1531,1528,1255,1743,1497,1500,1494,1471,1464,1531,1528,1255,1743,1497,1500,312
2415,2769,2647,2339,2882,1916,3289,2213,3027,2415,2769,2647,2339,2882,1916,3289,2213,3027,2415,2769,2647,2339,2882,1916,3289,2213,3027,2415,2769,2647,2339,2882,1916,3289,2213,3027,2415,2769,2647,2339,2882,1916,3289,2213,3027,2415,2769,2647,2339,2882,1916,3289,2213,3027,2415,2769,2647,2339,2882,1916,3289,2213,3027,2415,2769,2647,2339,2882,1916,3289,2213,3027,2415,2769,2647,2339,2882,1916,3289,2213,3027,2415,2769,2647,2339,2882,1916,3289,2213,3027,2415,2769,2647,2339,2882,1916,3289,2213,3027,2415,2769,2647,2339,2882,1916,3289,2213,3027,333
868,1026,1100,647,1232,928,1082,1062,1109,868,1026,1100,647,1232,928,1082,1062,1109,868,1026,1100,647,1232,928,1082,1062,1109,868,1026,1100,647,1232,928,1082,1062,1109,868,1026,1100,647,1232,928,1082,1062,1109,868,1026,1100,647,1232,928,1082,1062,1109,868,1026,1100,647,1232,928,1082,1062,1109,868,1026,1100,647,1232,928,1082,1062,1109,868,1026,1100,647,1232,928,1082,1062,1109,868,1026,1100,647,1232,928,1082,1062,1109,868,1026,1100,647,1232,928,1082,1062,1109,868,1026,1100,647,1232,928,1082,1062,1109,140
1861,1839,1879,1836,1869,1863,1872,1868,1861,1861,1839,1879,1836,1869,1863,1872,1868,1861,1861,1839,1879,1836,1869,1863,1872,1868,1861,1861,1839,1879,1836,1869,1863,1872,1868,1861,1861,1839,1879,1836,1869,1863,1872,1868,1861,1861,1839,1879,1836,1869,1863,1872,1868,1861,1861,1839,1879,1836,1869,1863,1872,1868,1861,1861,1839,1879,1836,1869,1863,1872,1868,1861,1861,1839,1879,1836,1869,1863,1872,1868,1861,1861,1839,1879,1836,1869,1863,1872,1868,1861,1861,1839,1879,1836,1869,1863,1872,1868,1861,1861,1839,1879,1836,1869,1863,1872,1868,1861,316
1188,1276,1698,1244,1357,2418,1999,1610,1602,1188,1276,1698,1244,1357,2418,1999,1610,1602,1188,1276,1698,1244,1357,2418,1999,1610,1602,1188,1276,1698,1244,1357,2418,1999,1610,1602,1188,1276,1698,1244,1357,2418,1999,1610,1602,1188,1276,1698,1244,1357,2418,1999,1610,1602,1188,1276,1698,1244,1357,2418,1999,1610,1602,1188,1276,1698,1244,1357,2418,1999,1610,1602,1188,1276,1698,1244,1357,2418,1999,1610,1602,1188,1276,1698,1244,1357,2418,1999,1610,1602,1188,1276,1698,1244,1357,2418,1999,1610,1602,1188,1276,1698,1244,1357,2418,1999,1610,1602,327
2421,2424,2393,1834,3037,2352,1983,2926,2439,2421,2424,2393,1834,3037,2352,1983,2926,2439,2421,2424,2393,1834,3037,2352,1983,2926,2439,2421,2424,2393,1834,3037,2352,1983,2926,2439,2421,2424,2393,1834,3037,2352,1983,2926,2439,2421,2424,2393,1834,3037,2352,1983,2926,2439,2421,2424,2393,1834,3037,2352,1983,2926,2439,2421,2424,2393,1834,3037,2352,1983,2926,2439,2421,2424,2393,1834,3037,2352,1983,2926,2439,2421,2424,2393,1834,3037,2352,1983,2926,2439,2421,2424,2393,1834,3037,2352,1983,2926,2439,2421,2424,2393,1834,3037,2352,1983,2926,2439,315
2517,2612,2564,2447,2619,2337,2834,2580,2599,2517,2612,2564,2447,2619,2337,2834,2580,2599,2517,2612,2564,2447,2619,2337,2834,2580,2599,2517,2612,2564,2447,2619,2337,2834,2580,2599,2517,2612,2564,2447,2619,2337,2834,2580,2599,2517,2612,2564,2447,2619,2337,2834,2580,2599,2517,2612,2564,2447,2619,2337,2834,2580,2599,2517,2612,2564,2447,2619,2337,2834,2580,2599,2517,2612,2564,2447,2619,2337,2834,2580,2599,2517,2612,2564,2447,2619,2337,2834,2580,2599,2517,2612,2564,2447,2619,2337,2834,2580,2599,2517,2612,2564,2447,2619,2337,2834,2580,2599,484
37345,37448,37377,37433,37277,37523,37400,37402,37401,37345,37448,37377,37433,37277,37523,37400,37402,37401,37345,37448,37377,37433,37277,37523,37400,37402,37401,37345,37448,37377,37433,37277,37523,37400,37402,37401,37345,37448,37377,37433,37277,37523,37400,37402,37401,37345,37448,37377,37433,37277,37523,37400,37402,37401,37345,37448,37377,37433,37277,37523,37400,37402,37401,37345,37448,37377,37433,37277,37523,37400,37402,37401,37345,37448,37377,37433,37277,37523,37400,37402,37401,37345,37448,37377,37433,37277,37523,37400,37402,37401,37345,37448,37377,37433,37277,37523,37400,37402,37401,37345,37448,37377,37433,37277,37523,37400,37402,37401,3
3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,559
3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,3927,3875,3801,4020,4034,3801,3853,3964,4117,559
1857,1852,1550,1535,1840,1826,1700,2620,1960,1857,1852,1550,1535,1840,1826,1700,2620,1960,1857,1852,1550,1535,1840,1826,1700,2620,1960,1857,1852,1550,1535,1840,1826,1700,2620,1960,1857,1852,1550,1535,1840,1826,1700,2620,1960,1857,1852,1550,1535,1840,1826,1700,2620,1960,1857,1852,1550,1535,1840,1826,1700,2620,1960,1857,1852,1550,1535,1840,1826,1700,2620,1960,1857,1852,1550,1535,1840,1826,1700,2620,1960,1857,1852,1550,1535,1840,1826,1700,2620,1960,1857,1852,1550,1535,1840,1826,1700,2620,1960,1857,1852,1550,1535,1840,1826,1700,2620,1960,377
808,798,812,800,801,830,798,818,809,808,798,812,800,801,830,798,818,809,808,798,812,800,801,830,798,818,809,808,798,812,800,801,830,798,818,809,808,798,812,800,801,830,798,818,809,808,798,812,800,801,830,798,818,809,808,798,812,800,801,830,798,818,809,808,798,812,800,801,830,798,818,809,808,798,812,800,801,830,798,818,809,808,798,812,800,801,830,798,818,809,808,798,812,800,801,830,798,818,809,808,798,812,800,801,830,798,818,809,72
